Namee,Contact,City,Referencee,Handled_By,Leadd,Converted,To_Be_Converted
Kamalapuram Phanikumar,8882222292,adoni,Google Ad,Deepali Kasatwar,Active lead,NO,NO
mayank CHOUDHARY,8989297224,gadarwara,Google Ad,Roshan Patil,End Lead,NO,NO
Thanniru Naresh,9281812299,Khammam,Google Ad,Kiran Dhakal,End Lead,NO,NO
Balaji Nachiappan,9884812799,Chennai,Google Ad,Pooja Melwani,Hot lead,NO,NO
Sumit Ghosh,7989937372,Kolkata,Insta,Manisha Parte,Active lead,NO,NO
shivaprasanna,9932298422,Kampli,Insta,Anchal Mishra,End Lead,NO,NO
Kamal Hossain Khan,9732242122,midnapur,Insta,Nilesh Shinde,End Lead,NO,NO
Sachin Nandurke,9723299749,Madha,Insta,Deepali Yadav,Active lead,NO,NO
Dayashankar Jaiswal,8983348292,Motihari,Insta,Ritik Yadav,Active lead,NO,NO
Hidayathulla sharief,9889399279,Bangalore,Insta,Abhijeet Bramhane,End Lead,NO,NO
Mandeep Kumar Srivastava,9918223479,Kolkata,Insta,Akash Sharma,Hot lead,NO,NO
Jatin Bhadiyadra,9427292791,Toronto,Insta,Suryakant Choudhary,Active lead,NO,NO
Chandan Dasgupta,7982294923,Allahabad,Insta,Sushant Nikam,End Lead,NO,NO
Prabhat Nath,9212974298,Imphal,FB,Azimuddin Mohd,End Lead,NO,NO
Kawaljeet Kaur,9912849213,ranipet,FB,Tamanna Sahu,End Lead,NO,NO
Mahesh Patel,9919419822,anantnag,FB,Ronak Jadhav,Active lead,NO,NO
Sunil Jain,9314882227,Mumbai,FB,Deepali Kasatwar,Active lead,NO,NO
Sankar Das,9134387232,Vyara,FB,Roshan Patil,End Lead,NO,NO
Jyoti goyal,9891921419,kallakurichi,FB,Kiran Dhakal,Active lead,NO,NO
Kovil Pandi Mass,9374822722,Gondal,FB,Pooja Melwani,Active lead,NO,NO
Dharmaraj Raut,8989282222,Tirunelveli,FB,Manisha Parte,Active lead,NO,NO
Santhosh M,9993442779,Gondal,Investment Leads,Anchal Mishra,End Lead,NO,NO
Tippani mallesh,9792999333,Tamilnadu,Investment Leads,Nilesh Shinde,Hot lead,YES,Coverted
Vibin Nair,9972372213,Tamilnadu,Investment Leads,Deepali Yadav,Active lead,NO,NO
Sribind Singh Rathor,9228399739,Lucknow,Investment Leads,Ritik Yadav,Active lead,NO,NO
Abhijeet Rai,8789392242,Badlapur,Investment Leads,Abhijeet Bramhane,Active lead,NO,NO
Prashant Mishra,9118792239,Lucknow,Investment Leads,Akash Sharma,Hot lead,NO,NO
DARSH THAKKAR,7878237232,Bihar,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Jitendra Pal,9422728998,Bihar,Investment Leads,Sushant Nikam,End Lead,NO,NO
Sundar Raj,9741297922,Badlapur,Investment Leads,Azimuddin Mohd,Active lead,NO,NO
Ameya Patil,7288931312,Mumbai,whatsapp,Tamanna Sahu,Active lead,NO,NO
Dipesh Mhatre,7292272999,Mumbai,whatsapp,Ronak Jadhav,Hot lead,YES,Coverted
Kapil Sharma,8991394437,Surat,Google Ad,Deepali Kasatwar,Hot lead,NO,NO
vishal,9927222821,Kalyan,Google Ad,Roshan Patil,Active lead,NO,NO
Atulya Chandra Sarin,9719228722,Kashmir,Google Ad,Kiran Dhakal,Active lead,NO,NO
Elijah Brown,9492392712,Kerla,Google Ad,Pooja Melwani,End Lead,NO,NO
Naved Tahir,9421498342,Hydrabad,Google Ad,Manisha Parte,End Lead,NO,NO
Suvendhu Das,8142238318,Kolkata,Google Ad,Anchal Mishra,Active lead,NO,NO
Sandeep Kumar,8219872913,Lucknow,Google Ad,Nilesh Shinde,Active lead,NO,NO
Dev Meher,9178329917,Navi Mumbai,Google Ad,Deepali Yadav,Hot lead,NO,NO
Syed Rizwan Geelani,9292971342,Hydrabad,Google Ad,Ritik Yadav,End Lead,NO,NO
Sathish Tvs,9224999929,Mumbai,Insta,Abhijeet Bramhane,Active lead,NO,NO
Dhiraj B,9492224838,Navi Mumbai,Insta,Akash Sharma,Hot lead,NO,NO
Prateek Gupta,9319112142,Lucknow,Insta,Suryakant Choudhary,Active lead,NO,NO
Pravesh Kumar,8923392222,Lucknow,Insta,Sushant Nikam,Hot lead,NO,NO
AC Chaure,9921491237,Kerla,Insta,Azimuddin Mohd,Active lead,NO,NO
Jitender Sahni,9229122279,Surat,Insta,Tamanna Sahu,Hot lead,NO,NO
Thillai R,9129333999,Tamilnadu,Insta,Ronak Jadhav,Hot lead,NO,NO
Trigunananda Boderi Deori,9322122278,Kerla,Insta,Deepali Kasatwar,Active lead,NO,NO
Nimbha Chavda,8224943282,Kashmir,FB,Roshan Patil,End Lead,NO,NO
Apurva Suresh Tawde,8727371922,Solapur,FB,Kiran Dhakal,Active lead,NO,NO
Sukhlalbhai Kokani,9712213494,Sawantwadi,FB,Pooja Melwani,Active lead,NO,NO
Kunthi Devi,8882449277,Madhya Pradesh,FB,Manisha Parte,End Lead,NO,NO
ankur,9272822229,Sawantwadi,FB,Anchal Mishra,Active lead,NO,NO
Babu Kj,9843132228,Kolkata,FB,Nilesh Shinde,End Lead,NO,NO
Mohtasham mirza,9927388287,Hydrabad,Investment Leads,Deepali Yadav,End Lead,NO,NO
SathishKumar,9843219218,Lucknow,Investment Leads,Ritik Yadav,Active lead,NO,NO
Bc C Nath,7982292242,Tamilnadu,Investment Leads,Abhijeet Bramhane,Hot lead,YES,Coverted
Neha Kumari,7299972399,Madhya Pradesh,Investment Leads,Akash Sharma,Active lead,NO,NO
Mohammed Imran,9932228741,Hydrabad,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Saket Gupta,9412423299,Madhya Pradesh,Investment Leads,Sushant Nikam,Active lead,NO,NO
Akshaykumar N,9229427729,Tamilnadu,Investment Leads,Azimuddin Mohd,Hot lead,YES,Coverted
Raju Awchar,8412992978,Kashmir,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Soham pardeshi,8434222272,Navi Mumbai,whatsapp,Ronak Jadhav,Active lead,NO,YES
Ameya R,8779232772,Navi Mumbai,whatsapp,Deepali Kasatwar,Active lead,NO,NO
Dhiraj Naik,9121234442,Navi Mumbai,whatsapp,Roshan Patil,Hot lead,NO,YES
Ramanbhai Parmar,9974791131,Vadodara,Google Ad,Ronak Jadhav,End Lead,NO,NO
Eidi Majid,8822984273,Srinagar,Google Ad,Deepali Kasatwar,End Lead,NO,NO
Shajahana Begum,7799929494,Hyderabad,Google Ad,Roshan Patil,End Lead,NO,NO
Santosh Gavade,9829712922,nipani,Google Ad,Kiran Dhakal,Active lead,NO,NO
Hemant Jain,9329992419,Sheopur,Google Ad,Pooja Melwani,End Lead,NO,NO
Ritesh Hirwani,9839249311,Gorakhpur,Google Ad,Manisha Parte,End Lead,NO,NO
Ravi Kumar,9944999292,Orai,Google Ad,Anchal Mishra,Active lead,NO,NO
Durgaprasad Koppanathi,9792821224,VIJAYAWADA,Google Ad,Nilesh Shinde,End Lead,NO,NO
Suryakant Bonde,9723829232,Nagpur,FB,Deepali Yadav,Hot lead,NO,NO
Rohit Singhal,9289212821,Bharatpur,FB,Ritik Yadav,Hot lead,NO,NO
Joseph Vaidhyan,9442979321,Chennai,FB,Abhijeet Bramhane,Active lead,NO,NO
A K Nayak,8229422219,Bhadrak,FB,Akash Sharma,Active lead,NO,NO
Sachchidanand Pandey,1292938938,Dubai,FB,Suryakant Choudhary,End Lead,NO,NO
Subhadip Parua,7998992224,Haldia,FB,Sushant Nikam,End Lead,NO,NO
Shiva Kumara,9282171938,Madhya Pradesh,FB,Azimuddin Mohd,Active lead,NO,NO
Bani Raza,9917129998,Ramnagar,FB,Tamanna Sahu,End Lead,NO,NO
Danny Sindhu,7982322223,Itanagar,FB,Rohit Sonar,End Lead,NO,NO
Mc Lmualchin,8974994194,aizawl,Insta,Ronak Jadhav,Hot lead,NO,NO
Dipak Dhage,8298927728,Shrigonda,Insta,Deepali Kasatwar,End Lead,NO,NO
Ather Sultaan,9422177998,Parbhani,Insta,Roshan Patil,Active lead,NO,NO
Rashid Pahalvi,9792128242,Srinagar,Insta,Kiran Dhakal,End Lead,NO,NO
Ramesh Jagtap,8198999992,mumbai,Insta,Pooja Melwani,Active lead,NO,NO
Mg Devoraj Taid,9797223322,Lakhimpur,Insta,Manisha Parte,Active lead,NO,NO
Bhism Pal,8398974427,Rewari,Insta,Anchal Mishra,End Lead,NO,NO
Hemant Meghwal,9929222729,Kota,Insta,Nilesh Shinde,Hot lead,NO,NO
Sachin Joshi,8928287999,Nagpur,Investment Leads,Deepali Yadav,Hot lead,YES,Coverted
Manish Mattoo,9918242999,Kolkata,Investment Leads,Ritik Yadav,End Lead,NO,NO
Payal Lalwani,9822929922,Surat,Investment Leads,Abhijeet Bramhane,Hot lead,NO,NO
Saswat Priyabrat,9777279942,Nagpur,Investment Leads,Akash Sharma,End Lead,NO,NO
Vaibhav Lohagaonkar,7798228919,Palghar,Investment Leads,Suryakant Choudhary,Hot lead,NO,NO
Dhananjay Kumar,9122222122,lucknow,Investment Leads,Sushant Nikam,End Lead,NO,NO
Sade Arun Kumar,9822922332,Madhya Pradesh,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
Harshal Patil,7228229849,Navi Mumbai,whatsapp,Tamanna Sahu,Active lead,NO,NO
Naimish sawant,8472932322,Solapur,whatsapp,Rohit Sonar,Active lead,NO,NO
Namdev kadam,9889372729,Nagpur,whatsapp,Manisha Parte,End Lead,NO,NO
Mahesh rana,7998249924,Kerla,Calling,Anchal Mishra,End Lead,NO,NO
Kalpesh patil,9372212497,Mumbai,Calling,Nilesh Shinde,Active lead,NO,NO
Sandeep rawat,9923273992,Mumbai,Calling,Deepali Yadav,Active lead,NO,NO
Pradeep Sansam,8229142992,Salem,Google Ad,Ronak Jadhav,End Lead,NO,NO
Ashutosh Bisi,7977832133,Rourkera,Google Ad,Deepali Kasatwar,Active lead,NO,NO
Prithrviraj,9429939292,Hardoi,Google Ad,Roshan Patil,End Lead,NO,NO
PRAVIN KUMAR,8192923721,chapra,Google Ad,Kiran Dhakal,End Lead,NO,NO
pradeep bhoir,9228928294,Rayagada,Google Ad,Pooja Melwani,End Lead,NO,NO
Mon Milon Taye,8729991299,Sivasagar,Google Ad,Manisha Parte,End Lead,NO,NO
GUL MOHOR,9822942942,PUNE,Google Ad,Anchal Mishra,Hot lead,NO,NO
Anil Bundela,9993729197,Indore,Google Ad,Nilesh Shinde,Active lead,NO,NO
AkashMishra,9972229742,Lucknow,whatsapp,Deepali Yadav,Active lead,NO,NO
Yash Jadhav,8892917899,Mangoav,whatsapp,Ritik Yadav,End Lead,NO,NO
Umesh Yadhav,7998819732,Madhya Pradesh,whatsapp,Abhijeet Bramhane,End Lead,NO,NO
Kiran ,7494492798,Navi Mumbai,whatsapp,Akash Sharma,Active lead,NO,NO
Sumeet,8898992222,Navi Mumbai,whatsapp,Suryakant Choudhary,End Lead,NO,NO
Arghya Chatterjee,9899299928,Kolkatta,Google Ad,Sushant Nikam,Hot lead,NO,YES
Subhajit patra,9279799222,Solapur,Google Ad,Azimuddin Mohd,End Lead,NO,NO
Manisha Purohit,9121239229,Surat,Google Ad,Tamanna Sahu,Hot lead,NO,NO
Nagajan Odedara,9898294281,Kashmir,Google Ad,Rohit Sonar,End Lead,NO,NO
Kuldeep Pandey,9422911148,Bhind Madhya Pradesh,FB,Ronak Jadhav,Active lead,NO,NO
Ehteshamul Haq Siddiqui,9149188227,Bahraich,FB,Deepali Kasatwar,End Lead,NO,NO
Ramesh Chary,9932222129,Hyderabad,FB,Roshan Patil,End Lead,NO,NO
Anand Kumar,9832129782,Ranchi,FB,Kiran Dhakal,Hot lead,NO,NO
Krishna Gopal Patidar,9424212482,Indore,FB,Pooja Melwani,Active lead,NO,NO
sushma kumari,8349229999,Pune,FB,Manisha Parte,Hot lead,NO,NO
Ht Deepu Poswal,9249778422,Nawa,FB,Anchal Mishra,End Lead,NO,NO
Vivek Bhoj,9842122922,Belgaum,Insta,Nilesh Shinde,End Lead,NO,NO
Manihrii Ememei,9891181722,Imphal,Insta,Deepali Yadav,End Lead,NO,NO
Subhas Biswas,9432329273,Chandannagar,Insta,Ritik Yadav,Active lead,NO,NO
Raj Irani,18973422924,Ranebennur,Insta,Abhijeet Bramhane,End Lead,NO,NO
Nurul Alam,9874922914,Raiganj,Insta,Akash Sharma,Active lead,NO,NO
Abdul Bari,7978344122,Phulbani,Insta,Suryakant Choudhary,Active lead,NO,NO
Pritam Hansraj,9471921819,patna,Insta,Sushant Nikam,Hot lead,YES,Coverted
Sancha Hang limboo,8983477222,Mumbai,Insta,Azimuddin Mohd,Active lead,NO,NO
Madyan Abhi,9729292998,Surat,PZ VIP,Tamanna Sahu,Hot lead,YES,Coverted
imran Mohammad,9222312199,Hydrabad,Investment Leads,Rohit Sonar,End Lead,NO,NO
Atish Kumar,8983783221,Madhya Pradesh,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Saurabh Thakkar,9822998299,mumbai,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Abdul Aseeb,9782888899,Surat,Investment Leads,Roshan Patil,Hot lead,YES,Coverted
Het Patel,9933297734,Nagpur,Investment Leads,Kiran Dhakal,End Lead,NO,NO
Vinod Shelke,9992272321,Solapur,Investment Leads,Pooja Melwani,Hot lead,NO,NO
Mohit Gilhotra,9729774172,kolkatta,Investment Leads,Manisha Parte,Active lead,NO,NO
Swanand Chitnis,8272328392,Kashmir,Investment Leads,Anchal Mishra,End Lead,NO,NO
Ramraj,7299819933,Nagpur,Investment Leads,Nilesh Shinde,End Lead,NO,NO
SUNIL KUMAR RAWAT,7991727282,Raniganj,PZ VIP,Deepali Yadav,End Lead,NO,NO
Aviral,7997978981,Kanpur Nagar,PZ VIP,Ritik Yadav,End Lead,NO,NO
Icon Boy Di,9822724874,Belonia,Google Ad,Abhijeet Bramhane,End Lead,NO,NO
Prasant Kumar Roy,9932422424,Asansol,Google Ad,Akash Sharma,End Lead,NO,NO
Sâñâñ Afäñdï,7321322782,Bachhraon,Google Ad,Suryakant Choudhary,Active lead,NO,NO
Kishore Chandra Bal,9348324922,Bhadrak,Google Ad,Sushant Nikam,End Lead,NO,NO
Sunny Sapre,7772822283,Bemetara,Google Ad,Azimuddin Mohd,Active lead,NO,NO
Ranvijay Singh,9721977927,Mathura,Google Ad,Tamanna Sahu,Active lead,NO,NO
Panneer Selvam,9443499992,Dharapuram,Google Ad,Rohit Sonar,End Lead,NO,NO
Ravendra Kumar Patel,8878892999,Indore,Google Ad,Ronak Jadhav,Active lead,NO,NO
Bhavesh ,9972292234,mumbai,Calling,Deepali Kasatwar,Active lead,NO,NO
Dipesh kadam,9972774828,Agra,Calling,Roshan Patil,End Lead,NO,NO
Soham,9991911287,Agra,Calling,Kiran Dhakal,Hot lead,NO,NO
Resham singh maan,9789212221,bithnda,FB,Pooja Melwani,End Lead,NO,NO
Swapnajit Mishra,9772727727,cuttack,FB,Manisha Parte,End Lead,NO,NO
Wasfia Ahmad,9932492217,Lucknow,FB,Anchal Mishra,Active lead,NO,NO
Kumar Kl,9229998292,Chennai,FB,Nilesh Shinde,Active lead,NO,NO
Gautam Lama,9732993349,ALIPURDUAR,FB,Deepali Yadav,Active lead,NO,NO
Shridhar Dasari,9731999249,Dharwad,FB,Ritik Yadav,End Lead,NO,NO
Arpita Karforma,9432492217,Kolkata,FB,Abhijeet Bramhane,End Lead,NO,NO
Tarachand Meena,9829171789,jahazpur,FB,Akash Sharma,Active lead,NO,NO
Prashant Sharma,9242237278,Amritsar,FB,Suryakant Choudhary,End Lead,NO,NO
Dipak Raut,9937222299,Puri,Insta,Sushant Nikam,End Lead,NO,NO
Abdul Rasheed Basudeen,92999 33333,Chennai,Insta,Azimuddin Mohd,End Lead,NO,NO
Palash Maity,7783994882,Muzaffarpur,Insta,Tamanna Sahu,Active lead,NO,NO
Bhanuprashant Salam,9291927312,Kanker,Insta,Rohit Sonar,End Lead,NO,NO
Rabiul Islam,8237888292,English Bazar,Insta,Ronak Jadhav,Active lead,NO,NO
Binu K,9892981342,palakkad,Insta,Deepali Kasatwar,End Lead,NO,NO
Manish Thummar,9714271111,Surat,Insta,Roshan Patil,Hot lead,NO,YES
Subha Halder,8921478798,Kachrapara,Insta,Kiran Dhakal,Active lead,NO,NO
Sahithi,9119729943,Surat,Google Ad,Pooja Melwani,Hot lead,NO,NO
Manjunatha Naik,9211177712,Navi Mumbai,Google Ad,Manisha Parte,Active lead,NO,NO
sourabh sankapal,9122929292,Solapur,Google Ad,Anchal Mishra,Hot lead,NO,NO
Ali Khan,9412498372,Hydrabad,Google Ad,Nilesh Shinde,End Lead,NO,NO
Amalendu Dash,9337122119,Hydrabad,Investment Leads,Deepali Yadav,End Lead,NO,NO
Mayur Maheshwari,9284999232,nagpur,Investment Leads,Ritik Yadav,Hot lead,NO,NO
Jadeja Ajaysinh,9274793233,surat,Investment Leads,Abhijeet Bramhane,Hot lead,NO,YES
pradeep,9112977297,mumbai,Investment Leads,Akash Sharma,Active lead,NO,NO
Viswas Narayana,9222282792,nashik,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Bhalchandra Tambekar,9899472974,hydrabad,Investment Leads,Sushant Nikam,End Lead,NO,NO
Samsad khan,9822221822,Hydrabad,Investment Leads,Azimuddin Mohd,End Lead,NO,NO
Akbar Sherasiya,9999121279,hydrabad,Investment Leads,Tamanna Sahu,Active lead,NO,NO
amitchavan4555@gmail.com,7799932299,solapur,Investment Leads,Rohit Sonar,Hot lead,NO,NO
Iqbal Maddan,18292828293,New Delhi,Insta,Ronak Jadhav,Active lead,NO,NO
Hemamalini,9849818912,Chennai,Insta,Deepali Kasatwar,Active lead,NO,NO
Sahil Panjeta,9412322893,Kurukshetra,Insta,Roshan Patil,End Lead,NO,NO
Jayaraj GJ,9842482323,Tiruchirappalli,Insta,Kiran Dhakal,End Lead,NO,NO
Pritam Patra,7279832221,Haldia,Insta,Pooja Melwani,End Lead,NO,NO
Archana Chavan,7977922222,Parli Vaijnath,Insta,Manisha Parte,End Lead,NO,NO
Rajkumar Kanara,9291897449,Gandhinagar,Insta,Anchal Mishra,End Lead,NO,NO
Shweta,9273494399,Nashik,Insta,Nilesh Shinde,End Lead,NO,NO
Rajesh,9729229991,Surat,whatsapp,Deepali Yadav,Hot lead,NO,YES
Mahesh,9289924922,Navi Mumbai,whatsapp,Ritik Yadav,Active lead,NO,NO
Kailash,7291874992,Mumbai,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
Mangesh,9722779213,Tamilnadu,Calling,Akash Sharma,End Lead,NO,NO
Swayam,8839782332,Nagpur,Calling,Suryakant Choudhary,End Lead,NO,NO
Rajesh Kumar,9422241799,MIRZAPUR (UP),PZ VIP,Sushant Nikam,End Lead,NO,NO
DR. ARUN MONY,9273291498,PRODDATUR,PZ VIP,Azimuddin Mohd,End Lead,NO,NO
Sourav ROY,7998922942,Kolkatta,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Ajay Tanti,9924393224,Mumbai,Investment Leads,Rohit Sonar,Hot lead,NO,YES
Mohammad Umar Nishad Khan,8982224179,Mumbai,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Sanjeev Kumar Jha,7879238882,Nagpur,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
AnarDeen Agriculture,7727849497,nashik,Investment Leads,Roshan Patil,End Lead,NO,NO
Manjunath B Kulkarni,9999792389,Solapur,Investment Leads,Kiran Dhakal,Active lead,NO,NO
Ashok Gowda P,8722299947,Kerla,Investment Leads,Pooja Melwani,End Lead,NO,NO
Shashank Gowda,9141333222,Bangalore,FB,Manisha Parte,End Lead,NO,NO
Jelsad Hoque,9733222772,Murshidabad,FB,Anchal Mishra,End Lead,NO,NO
Pekken Basar,8974293772,Basar,FB,Nilesh Shinde,End Lead,NO,NO
Ranjit Singh Jhala,9292219292,Bari Sadri,FB,Deepali Yadav,End Lead,NO,NO
Ram Krishnan,9842792229,Sathyamangalam,FB,Ritik Yadav,End Lead,NO,NO
Sandeep Bansal,1722211244,Patiala,FB,Abhijeet Bramhane,End Lead,NO,NO
Sanjeev Kumar,9431893229,Purnea and Madhepura,FB,Akash Sharma,End Lead,NO,NO
Ravita Rathee,9818187982,Gurugram,FB,Suryakant Choudhary,End Lead,NO,NO
Rakesh Kicholiya,9822277121,Dewas,FB,Sushant Nikam,End Lead,NO,NO
Robert Tlau,9774481292,Aizawl,Google Ad,Azimuddin Mohd,End Lead,NO,NO
Sahajan Khan,9132418213,Kolkata,Google Ad,Tamanna Sahu,Active lead,NO,NO
Rubul Manki,9191132242,Biswanath Chariali,Google Ad,Rohit Sonar,End Lead,NO,NO
Nitesh Kaushik,7489798232,Akaltara,Google Ad,Anchal Mishra,Active lead,NO,NO
Ravi Kant Verma,9917879928,Firozabad,Google Ad,Nilesh Shinde,End Lead,NO,NO
